X,Y,Theta1_deg,Theta2_deg
35.613203993226975,-13.893167409179943,0.0,-136.0
36.106832590820055,-14.386796006773022,0.0,-134.0
36.61738787282283,-14.862896509547884,0.0,-132.0
37.14424780626921,-15.32088886237956,0.0,-130.0
37.68677049348683,-15.76021507213444,0.0,-128.0
38.24429495415054,-16.18033988749895,0.0,-126.0
38.81614193058507,-16.580751451100834,0.0,-124.0
39.4016147153359,-16.960961923128522,0.0,-122.0
40.0,-17.320508075688775,0.0,-120.0
40.61056874428218,-17.658951857178536,0.0,-118.0
41.23257706421845,-17.97588092598334,0.0,-116.0
41.86526713848399,-18.270909152852017,0.0,-114.0
42.50786813168176,-18.54367709133575,0.0,-112.0
43.15959713348663,-18.79385241571817,0.0,-110.0
43.819660112501055,-19.021130325903073,0.0,-108.0
44.48725288366002,-19.225233918766378,0.0,-106.0
45.16156208800665,-19.40591452551993,0.0,-104.0
45.841766183644815,-19.562952014676114,0.0,-102.0
46.52703644666139,-19.69615506024416,0.0,-100.0
47.21653798079869,-19.805361374831406,0.0,-98.0
47.90943073464693,-19.890437907365467,0.0,-96.0
48.60487052511749,-19.951281005196485,0.0,-94.0
49.30201006594998,-19.987816540381914,0.0,-92.0
50.0,-20.0,0.0,-90.0
50.69798993405002,-19.987816540381914,0.0,-88.0
51.3951294748825,-19.951281005196485,0.0,-86.0
52.09056926535307,-19.890437907365467,0.0,-84.0
52.78346201920131,-19.805361374831406,0.0,-82.0
53.47296355333861,-19.69615506024416,0.0,-80.0
54.15823381635519,-19.56295201467611,0.0,-78.0
54.83843791199335,-19.40591452551993,0.0,-76.0
55.51274711633998,-19.225233918766378,0.0,-74.0
56.180339887498945,-19.02113032590307,0.0,-72.0
56.84040286651338,-18.793852415718167,0.0,-70.0
57.49213186831824,-18.54367709133575,0.0,-68.0
58.13473286151601,-18.270909152852017,0.0,-66.0
58.76742293578155,-17.97588092598334,0.0,-64.0
59.38943125571782,-17.658951857178536,0.0,-62.0
60.0,-17.32050807568877,0.0,-60.0
60.5983852846641,-16.96096192312852,0.0,-58.0
